,user,text,favorite_count,retweet_count,created_at
165,elonmusk,@DogecoinNorway @moxie @ID_AA_Carmack 🤣 that’s happened to me many times,1698,68,2022-10-17 05:52:27+00:00
166,elonmusk,@moxie @ID_AA_Carmack A much quieter leaf blower is possible,1985,99,2022-10-17 05:47:40+00:00
167,elonmusk,"@teslaownersSV This is harder than it sounds, but ok",6978,298,2022-10-16 21:55:13+00:00
168,elonmusk,Deus X Machina,67266,4197,2022-10-16 21:51:48+00:00
169,elonmusk,"@ChrisG_NSF We are proceeding very carefully. If there is a RUD on the pad, Starship progress will be set back by ~6 months.",10709,691,2022-10-16 20:26:15+00:00
170,elonmusk,@Rainmaker1973 Game over when (not if) Earth gets hit by an object of that size,69099,3381,2022-10-16 15:39:58+00:00
171,elonmusk,@N_Schmid Ramen &gt;&gt; Lambos,3101,189,2022-10-16 15:01:52+00:00
172,elonmusk,@Rainmaker1973 Used a lot in rocketry,6927,366,2022-10-16 14:59:10+00:00
173,elonmusk,So true https://t.co/PwmxUVU2Fc,239212,22065,2022-10-16 14:26:13+00:00
174,elonmusk,@Rainmaker1973 Every millipede has its millennia,13333,493,2022-10-16 14:17:00+00:00
175,elonmusk,@HardcoreHistory We should bring back their outfits,15526,494,2022-10-16 14:14:32+00:00
176,elonmusk,@karpathy Good thread,6714,276,2022-10-16 14:10:52+00:00
177,elonmusk,Fancy a game of meme tennis? https://t.co/d9tqIlg7nB,44819,2833,2022-10-16 05:17:46+00:00
178,elonmusk,Buy Burnt Hair from a company that digs holes!,34233,1630,2022-10-16 05:13:44+00:00
179,elonmusk,@chicago_glenn I read this as goth clowns lonely,3737,138,2022-10-16 05:02:22+00:00
180,elonmusk,Did you hear about the dyslexic KBG agent – it’s pot secret!,94752,5105,2022-10-16 04:51:35+00:00
181,elonmusk,@utamadush 🤣,1322,41,2022-10-16 04:48:08+00:00
182,elonmusk,"Venn diagram intersection of those two audiences is pretty small, I guess",14750,556,2022-10-16 04:46:02+00:00
183,elonmusk,Not as popular as I’d hoped (sigh),16700,619,2022-10-16 04:44:53+00:00
